	at java.util.StringTokenizer.nextElement(StringTokenizer.java:407)
	at app04.xstream.xml.route.CustomProcessorXStreamProcessor.process(CustomProcessorXStreamProcessor.java:25)
	at org.apache.camel.processor.DelegateSyncProcessor.process(DelegateSyncProcessor.java:63)
	at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:548)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:201)
	at org.apache.camel.processor.Pipeline.process(Pipeline.java:138)
	at org.apache.camel.processor.Pipeline.process(Pipeline.java:101)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:201)
	at org.apache.camel.component.direct.DirectProducer.process(DirectProducer.java:62)
	at org.apache.camel.processor.SharedCamelInternalProcessor.process(SharedCamelInternalProcessor.java:186)
	at org.apache.camel.processor.SharedCamelInternalProcessor.process(SharedCamelInternalProcessor.java:86)
	at org.apache.camel.impl.ProducerCache$1.doInProducer(ProducerCache.java:541)
	at org.apache.camel.impl.ProducerCache$1.doInProducer(ProducerCache.java:506)
	at org.apache.camel.impl.ProducerCache.doInProducer(ProducerCache.java:369)
	at org.apache.camel.impl.ProducerCache.sendExchange(ProducerCache.java:506)
	at org.apache.camel.impl.ProducerCache.send(ProducerCache.java:229)
	at org.apache.camel.impl.DefaultProducerTemplate.send(DefaultProducerTemplate.java:144)
	at org.apache.camel.impl.DefaultProducerTemplate.sendBody(DefaultProducerTemplate.java:161)
	at org.apache.camel.impl.DefaultProducerTemplate.sendBody(DefaultProducerTemplate.java:168)
	at app04.xstream.xml.route.XmlMain.main(XmlMain.java:26)
2019-05-28 10:21:26,002 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:21:26,004 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:21:26,117 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:21:26,189 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 10:21:26,291 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://csvinput
2019-05-28 10:21:26,291 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 10:21:26,293 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.291 seconds
2019-05-28 10:21:26,305 | ERROR | CamelLogger.java 204 | Failed delivery for (MessageId: ID-DProkopiuk-W10-1559028085843-0-2 on ExchangeId: ID-DProkopiuk-W10-1559028085843-0-1). Exhausted after delivery attempt: 1 caught: java.util.NoSuchElementException

Message History
---------------------------------------------------------------------------------------------------------------------------------------
RouteId              ProcessorId          Processor                                                                        Elapsed (ms)
[route1            ] [route1            ] [direct://csvinput                                                             ] [         4]
[route1            ] [process1          ] [Processor@0x68f4865                                                           ] [         2]

Stacktrace
---------------------------------------------------------------------------------------------------------------------------------------
java.util.NoSuchElementException
	at java.util.StringTokenizer.nextToken(StringTokenizer.java:349)
	at java.util.StringTokenizer.nextElement(StringTokenizer.java:407)
	at app04.xstream.xml.route.CustomProcessorXStreamProcessor.process(CustomProcessorXStreamProcessor.java:25)
	at org.apache.camel.processor.DelegateSyncProcessor.process(DelegateSyncProcessor.java:63)
	at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:548)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:201)
	at org.apache.camel.processor.Pipeline.process(Pipeline.java:138)
	at org.apache.camel.processor.Pipeline.process(Pipeline.java:101)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:201)
	at org.apache.camel.component.direct.DirectProducer.process(DirectProducer.java:62)
	at org.apache.camel.processor.SharedCamelInternalProcessor.process(SharedCamelInternalProcessor.java:186)
	at org.apache.camel.processor.SharedCamelInternalProcessor.process(SharedCamelInternalProcessor.java:86)
	at org.apache.camel.impl.ProducerCache$1.doInProducer(ProducerCache.java:541)
	at org.apache.camel.impl.ProducerCache$1.doInProducer(ProducerCache.java:506)
	at org.apache.camel.impl.ProducerCache.doInProducer(ProducerCache.java:369)
	at org.apache.camel.impl.ProducerCache.sendExchange(ProducerCache.java:506)
	at org.apache.camel.impl.ProducerCache.send(ProducerCache.java:229)
	at org.apache.camel.impl.DefaultProducerTemplate.send(DefaultProducerTemplate.java:144)
	at org.apache.camel.impl.DefaultProducerTemplate.sendBody(DefaultProducerTemplate.java:161)
	at org.apache.camel.impl.DefaultProducerTemplate.sendBody(DefaultProducerTemplate.java:168)
	at app04.xstream.xml.route.XmlMain.main(XmlMain.java:26)
2019-05-28 10:22:21,439 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:22:21,442 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:22:21,556 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:22:21,628 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 10:22:21,729 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://csvinput
2019-05-28 10:22:21,729 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 10:22:21,730 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.292 seconds
2019-05-28 10:22:21,771 | INFO | CamelLogger.java 159 | <?xml version='1.0' encoding='UTF-8'?><employee><name>d</name></employee>
2019-05-28 10:22:26,771 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 10:22:26,771 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 10:22:26,774 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://csvinput
